,Unnamed: 0.1,Unnamed: 0,molecule_chembl_id,IC50,units,smiles,pIC50,molecular_weight.1,n_hba.1,n_hbd.1,logp.1,ro5_fulfilled,ROMol
0,14,14,CHEMBL411295,7.0,nM,O=C(O)c1cccc(/C=C/c2ccc3cc(Br)c(C(F)(F)P(=O)(O)O)cc3n2)c1,8.154901959985743,482.968277686,3,3,5.092900000000003,True,<rdkit.Chem.rdchem.Mol object at 0x7f0bad96e7c0>
1,16,16,CHEMBL377141,10.0,nM,O=C1CC(c2ccc(C[C@H](NS(=O)(=O)c3cccc(C(F)(F)F)c3)c3nc4cc(Cl)ccc4[nH]3)cc2F)S(=O)(=O)[N-]1.[Na+],8.0,652.0240965160002,6,2,2.3154000000000003,True,<rdkit.Chem.rdchem.Mol object at 0x7f0bad8b2a60>
2,18,18,CHEMBL1938829,11.0,nM,O=C(O)COc1ccc(S(=O)(=O)N(Cc2ccc(-c3csnn3)cc2)Cc2ccc3cc(F)c(C(F)(F)P(=O)(O)O)cc3n2)cc1,7.958607314841775,694.0568769540002,9,3,4.973900000000006,True,<rdkit.Chem.rdchem.Mol object at 0x7f0bad8b2ee0>
4,23,23,CHEMBL592290,14.0,nM,O=C1CN(c2c(O)cc(CC3CCCCC3)cc2F)S(=O)(=O)C1,7.853871964321762,341.10970733999994,4,1,2.373,True,<rdkit.Chem.rdchem.Mol object at 0x7f0bad8b2940>
5,24,24,CHEMBL381584,15.0,nM,O=C1C[C@@H](c2ccc(C[C@H](NS(=O)(=O)c3cccc(F)c3)c3nc4ccccc4[nH]3)cc2F)S(=O)(=O)[N-]1.[Na+],7.823908740944319,568.066262428,6,2,0.7823,True,<rdkit.Chem.rdchem.Mol object at 0x7f0bad8b2e80>
6,25,25,CHEMBL378614,16.0,nM,Cc1cc(C[C@H](NS(=O)(=O)c2ccc(Br)c(C(F)(F)F)c2)c2nc3ccccc3[nH]2)ccc1[C@@H]1CC(=O)[N-]S1(=O)=O.[Na+],7.795880017344075,691.9986528120002,6,2,2.593820000000002,True,<rdkit.Chem.rdchem.Mol object at 0x7f0bad8b29a0>
7,29,29,CHEMBL410646,16.0,nM,CC(Cc1ccc(C(F)(F)P(=O)(O)O)cc1)(c1ccccc1)n1nnc2ccccc21,7.795880017344075,443.12103457000006,4,2,4.664500000000006,True,<rdkit.Chem.rdchem.Mol object at 0x7f0bad8b22e0>
8,31,31,CHEMBL211352,18.0,nM,Cc1cc(C[C@H](NS(=O)(=O)c2ccccc2C#N)c2nc3ccccc3[nH]2)ccc1[C@@H]1CC(=O)[N-]S1(=O)=O.[Na+],7.744727494896693,571.0960050840001,7,2,0.6841999999999999,True,<rdkit.Chem.rdchem.Mol object at 0x7f0bad8b2340>
9,34,34,CHEMBL208114,18.0,nM,O=C1CC(c2ccc(C[C@H](NS(=O)(=O)c3ccccc3)c3nc4ccccc4[nH]3)cc2F)S(=O)(=O)[N-]1.[Na+],7.744727494896693,550.0756842400001,6,2,0.6432000000000002,True,<rdkit.Chem.rdchem.Mol object at 0x7f0bad8b2a00>
11,36,36,CHEMBL4164960,18.6,nM,CCOc1cc(NS(C)(=O)=O)c(OCC)cc1CNC(=O)Nc1ccc(OCC)c(C(=O)OC)c1,7.730487055782084,509.183185952,8,3,3.3625000000000025,True,<rdkit.Chem.rdchem.Mol object at 0x7f0bad8b2c40>
13,43,43,CHEMBL253476,23.0,nM,Cc1cc(CC(NS(=O)(=O)c2cccc(F)c2)C2=NC[C@@H](CCOc3cccc(S(C)(=O)=O)c3)N2)ccc1C1CC(=O)NS1(=O)=O,7.638272163982407,692.1444552360001,10,3,2.15742,True,<rdkit.Chem.rdchem.Mol object at 0x7f0bad8b28e0>
14,44,44,CHEMBL590689,23.0,nM,Cc1cc(CC(NS(=O)(=O)c2cccc(F)c2)C2=N[C@H](CCOc3ccccc3S(C)(=O)=O)CN2)ccc1C1CC(=O)NS1(=O)=O,7.638272163982407,692.1444552360001,10,3,2.15742,True,<rdkit.Chem.rdchem.Mol object at 0x7f0bad8b23a0>
15,50,50,CHEMBL607027,27.0,nM,O=C1C[C@@H](c2ccc(C[C@H](Nc3nc4ccccc4s3)c3nc4ccccc4[nH]3)cc2F)S(=O)(=O)N1,7.568636235841012,521.0991597200001,7,3,4.598400000000003,True,<rdkit.Chem.rdchem.Mol object at 0x7f0bad8b2280>
16,51,51,CHEMBL261362,27.0,nM,O=C(Nc1cccc(F)c1)c1ccc2cc(Br)c(C(F)(F)P(=O)(O)O)cc2n1,7.568636235841012,473.959190222,3,3,4.615700000000002,True,<rdkit.Chem.rdchem.Mol object at 0x7f0bad8b2400>
17,52,52,CHEMBL198940,28.0,nM,CN(C)S(=O)(=O)c1ccc(CN(Cc2ccc(C(F)(F)P(=O)(O)O)c(Br)c2)S(=O)(=O)c2ccc(OCC(=O)O)cc2)cc1,7.552841968657781,725.9917922020002,7,3,3.780900000000004,True,<rdkit.Chem.rdchem.Mol object at 0x7f0bad8b2760>
18,60,60,CHEMBL372592,31.0,nM,CN(Cc1ccccc1)C(=O)CN(Cc1ccc(C(F)(F)P(=O)(O)O)c(Br)c1)S(=O)(=O)c1ccc(OCC(=O)O)cc1,7.508638306165727,690.024806582,6,3,3.989000000000003,True,<rdkit.Chem.rdchem.Mol object at 0x7f0bad8b2460>
19,61,61,CHEMBL1938819,31.0,nM,NS(=O)(=O)C(F)(F)c1ccc(CN(Cc2ccc(-c3csnn3)cc2)S(=O)(=O)c2ccc(OCC(=O)O)cc2)cc1F,7.508638306165727,642.0524466720002,9,2,3.536500000000003,True,<rdkit.Chem.rdchem.Mol object at 0x7f0bad8b21c0>
21,63,63,CHEMBL418703,32.0,nM,O=P(O)(O)C(F)(F)c1ccc(CC(Cc2ccc(C(F)(F)P(=O)(O)O)cc2)(c2nnn[nH]2)n2nnc3ccccc32)cc1,7.494850021680094,641.0964675320001,8,5,3.6274000000000015,True,<rdkit.Chem.rdchem.Mol object at 0x7f0bad8b2640>
22,64,64,CHEMBL210836,32.0,nM,O=C1C[C@@H](c2ccc(C[C@H](NS(=O)(=O)c3ccccc3)c3nc4ccccc4[nH]3)cc2)S(=O)(=O)[N-]1.[Na+],7.494850021680094,532.085106052,6,2,0.5041,True,<rdkit.Chem.rdchem.Mol object at 0x7f0bad8b24c0>
23,67,67,CHEMBL1938816,35.0,nM,O=C(O)COc1ccc(S(=O)(=O)N(Cc2ccc(-c3csnn3)cc2)Cc2ccc(C(F)(F)P(=O)(O)O)c(F)c2)cc1,7.455931955649724,643.0459779220002,8,3,4.425700000000005,True,<rdkit.Chem.rdchem.Mol object at 0x7f0bad8b2700>
24,69,69,CHEMBL211655,35.0,nM,CC(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](Cc1ccc([C@@H]2CC(=O)NS2(=O)=O)cc1)c1nc2ccccc2[nH]1,7.455931955649724,559.188940028,6,4,2.6011,True,<rdkit.Chem.rdchem.Mol object at 0x7f0bad8b2be0>
25,70,70,CHEMBL1938830,35.0,nM,NS(=O)(=O)C(F)(F)c1cc2cc(CN(Cc3ccc(-c4csnn4)cc3)S(=O)(=O)c3ccc(OCC(=O)O)cc3)ccc2cc1F,7.455931955649724,692.0680967360001,9,2,4.689700000000005,True,<rdkit.Chem.rdchem.Mol object at 0x7f0bad8b2160>
26,71,71,CHEMBL248291,35.0,nM,Cc1cc(C[C@H](NS(=O)(=O)c2ccccc2)c2nc3ccccc3[nH]2)ccc1[C@@H]1CC(=O)NS1(=O)=O,7.455931955649724,524.118811868,6,3,3.024420000000001,True,<rdkit.Chem.rdchem.Mol object at 0x7f0bad8b2520>
27,72,72,CHEMBL377989,35.0,nM,Cc1cc(C[C@H](NS(=O)(=O)c2ccccc2)c2nc3ccccc3[nH]2)ccc1[C@@H]1CC(=O)[N-]S1(=O)=O.[Na+],7.455931955649724,546.1007561160001,6,2,0.8125200000000001,True,<rdkit.Chem.rdchem.Mol object at 0x7f0bad8b25e0>
29,75,75,CHEMBL1938831,38.0,nM,NS(=O)(=O)C(F)(F)c1cc2nc(CN(Cc3ccc(-c4csnn4)cc3)S(=O)(=O)c3ccc(OCC(=O)O)cc3)ccc2cc1F,7.42021640338319,693.0633457040002,10,2,4.084700000000003,True,<rdkit.Chem.rdchem.Mol object at 0x7f0bad8cefa0>
31,83,83,CHEMBL1938827,41.0,nM,NS(=O)(=O)C(F)(F)c1cc2nc(CN(Cc3ccc(-c4csnn4)cc3)S(=O)(=O)c3ccc(OCC(=O)O)cc3)ccc2cc1Br,7.387216143280264,752.9832795840002,10,2,4.708100000000004,True,<rdkit.Chem.rdchem.Mol object at 0x7f0bad8ceca0>
32,85,85,CHEMBL253500,43.0,nM,O=C1CC(c2ccc(CC(NS(=O)(=O)c3cccc(F)c3)c3ncc(CCCc4ccccc4)[nH]3)cc2)S(=O)(=O)N1,7.366531544420413,596.1563402480001,6,3,3.877200000000002,True,<rdkit.Chem.rdchem.Mol object at 0x7f0bad8ce8e0>
33,86,86,CHEMBL424880,43.0,nM,O=C1CC(c2ccc(CC(NS(=O)(=O)c3cccc(F)c3)c3nc4ccccc4[nH]3)cc2)S(=O)(=O)N1,7.366531544420413,528.093739992,6,3,2.8551,True,<rdkit.Chem.rdchem.Mol object at 0x7f0bad8ce5e0>
34,88,88,CHEMBL212260,45.0,nM,N#Cc1ccccc1S(=O)(=O)NC(Cc1ccc(C2CC(=O)NS2(=O)=O)cc1)c1nc2ccccc2[nH]1,7.346787486224656,535.0984107720001,7,3,2.5876800000000006,True,<rdkit.Chem.rdchem.Mol object at 0x7f0bad8cedc0>
35,89,89,CHEMBL261108,45.0,nM,O=C(NCc1ccccc1)c1ccc2cc(Br)c(C(F)(F)P(=O)(O)O)cc2n1,7.346787486224656,469.984262098,3,3,4.154300000000004,True,<rdkit.Chem.rdchem.Mol object at 0x7f0bad8ce760>
36,92,92,CHEMBL1938818,47.0,nM,NS(=O)(=O)C(F)(F)c1ccc(CN(Cc2ccc(-c3csnn3)cc2)S(=O)(=O)c2ccc(OCC(=O)O)cc2)cc1Br,7.327902142064282,701.9723805520002,9,2,4.159900000000004,True,<rdkit.Chem.rdchem.Mol object at 0x7f0bad8ce580>
37,93,93,CHEMBL377735,48.0,nM,COc1cccc(S(=O)(=O)NC(Cc2ccc(C3CC(=O)NS3(=O)=O)cc2)c2nc3ccccc3[nH]2)c1,7.318758762624412,540.113726488,7,3,2.724600000000001,True,<rdkit.Chem.rdchem.Mol object at 0x7f0bad8ce1c0>
38,95,95,CHEMBL3822604,50.0,nM,COC(=O)CN(c1ccc(CN(c2ccc(OCc3ccc(C)cc3)c(C(=O)OC)c2)S(=O)(=O)Cc2ccccc2)cc1)S(C)(=O)=O,7.301029995663981,680.186222732,9,0,4.836220000000005,True,<rdkit.Chem.rdchem.Mol object at 0x7f0bad8cef40>
39,96,96,CHEMBL208604,50.0,nM,O=C1C[C@@H](c2ccc(C[C@H](NS(=O)(=O)c3ccccc3)c3nc4ccccc4[nH]3)cc2Cl)S(=O)(=O)[N-]1.[Na+],7.301029995663981,566.0461336999999,6,2,1.1575000000000002,True,<rdkit.Chem.rdchem.Mol object at 0x7f0bad8ce6a0>
40,97,97,CHEMBL206950,51.0,nM,O=C1CC(c2ccc(CC(NS(=O)(=O)c3cc(Cl)cc(Cl)c3)c3nc4ccccc4[nH]3)cc2)S(=O)(=O)N1,7.292429823902063,578.0252171000001,6,3,4.022800000000003,True,<rdkit.Chem.rdchem.Mol object at 0x7f0bad8ce640>
41,98,98,CHEMBL207489,51.0,nM,O=C1CC(c2ccc(CC(NS(=O)(=O)c3ccc(C(F)(F)F)cc3)c3nc4ccccc4[nH]3)cc2)S(=O)(=O)N1,7.292429823902063,578.0905464320001,6,3,3.7348000000000017,True,<rdkit.Chem.rdchem.Mol object at 0x7f0bad8ce160>
