,SMILES,molecular_weight,n_hba,n_hbd,logp,molecular_weight,n_hba,n_hbd,logp,ro5_fulfilled
1772,O=C(c1ccc(O)cc1)N1CCC(Cc2ccccc2)CC1,295.15722891200005,2,1,3.4871000000000025,295.15722891200005,2,1,3.4871000000000025,True
1774,C=C(CCC)C1=CC2=C3C(=O)C(=O)C(=Cc4ccccc4)C2=C(O)C(=CC1O)OC3CC=C(C)C,470.2093240599999,5,2,5.626700000000006,470.2093240599999,5,2,5.626700000000006,True
1775,COC(=O)C1C(C)=NC(=O)NC1c1ccc(C)cc1,260.116092372,3,1,2.0094199999999995,260.116092372,3,1,2.0094199999999995,True
1776,O=C(O)C(=O)Nc1ccc(OCc2c(F)cccc2Br)cc1,366.98554815200004,3,2,3.1903000000000015,366.98554815200004,3,2,3.1903000000000015,True
1777,O=C(O)COc1c(C(=O)O)sc(-c2ccccc2)c1Br,355.935406488,4,2,3.3392000000000017,355.935406488,4,2,3.3392000000000017,True
1778,O=C(O)COc1cc(CC2CCCCC2)ccc1-c1ccc2c(c1)CCC2,364.20384475599997,2,1,5.428500000000006,364.20384475599997,2,1,5.428500000000006,True
1779,CCN(CC)S(=O)(=O)c1ccc(N(C)C)c(Nc2nc(-c3ccccc3)nc3ccccc23)c1,475.20419616800007,6,1,5.136900000000004,475.20419616800007,6,1,5.136900000000004,True
1780,CC(=CCC(O)CC12CC(C)(C)CCC1(C)CCC2(C)C)CCCC(C)C,376.370516156,1,1,7.922900000000009,376.370516156,1,1,7.922900000000009,True
1781,O=C(O)c1ccc2c(c1)C(=CCN1CCCC(CCc3ccc(O)cc3)C1)CC2,391.214743788,3,2,4.764800000000005,391.214743788,3,2,4.764800000000005,True
1782,CCCCCCc1nc2cc(C=CC(=O)NO)ccc2n1CC,315.19467704000004,4,2,3.697600000000002,315.19467704000004,4,2,3.697600000000002,True
1783,O=C(C=Cc1cc(-c2ccccc2)[nH]c1C(=O)O)NCc1ccc(C(F)(F)F)cc1,414.11912706400005,2,3,4.728300000000003,414.11912706400005,2,3,4.728300000000003,True
1784,CC1=C(C)CC(CC2(C)C3CCC2(C)C(=O)C3(C)C)CC1,288.245315644,1,0,5.5445000000000055,288.245315644,1,0,5.5445000000000055,True
1785,CC1(C)CCC2(C(=O)O)CCC3(C)C(=CCC4C5(C)CCC(=O)C(C)(C)C5CCC43C)C2C1,454.34469533199996,2,1,7.441800000000009,454.34469533199996,2,1,7.441800000000009,True
1786,O=C(O)C(=O)Nc1sc2c(c1C(=O)O)CCCC2,269.035793452,4,3,1.3481999999999998,269.035793452,4,3,1.3481999999999998,True
1787,Cc1cc2cc(NC(=O)C=Cc3ccc(Oc4ccc(F)cc4)cc3)ccc2cc1C(=O)N(C)C,468.18492088000005,3,1,6.433320000000006,468.18492088000005,3,1,6.433320000000006,True
1788,CC1=CC=C(C(C)C)CCC(C)=CCC1,204.187800768,0,0,5.0354000000000045,204.187800768,0,0,5.0354000000000045,True
1789,O=C(Cc1c(F)cccc1Cl)NCc1cccc(CNC(=O)OC2CCCCC2)c1,432.16159859199996,3,2,4.896900000000003,432.16159859199996,3,2,4.896900000000003,True
1790,COc1cc(O)c(Br)cc1C(=O)CCc1ccc(O)cc1,350.01537106,4,2,3.684400000000001,350.01537106,4,2,3.684400000000001,True
1791,CC1=CC=C(C(C)C)CC(Br)C1=O,242.0306272,1,0,3.251400000000002,242.0306272,1,0,3.251400000000002,True
1792,CCCc1cc(O)cc(O)c1C(=O)O,196.073558864,3,3,1.7485,196.073558864,3,3,1.7485,True
1793,COC(=O)C(Cc1ccc(OCCc2ccc3ccccc3c2)cc1)NC(=O)CC(N)Cc1ccccc1,510.251857568,5,2,4.621700000000003,510.251857568,5,2,4.621700000000003,True
